title,content
News,"The ""Made in China"" juggernaut was built over decades. Can Trump's moves set it back? A key meeting has begun to revive China's lagging economy, which is now facing a trade war with the US. BlackRock will buy two ports after Trump's interest in taking back control of the key shipping route. The recent spree of deals between the two is upsetting traditional allies wary of Beijing. The move comes after rights groups warned the Uyghurs face torture and possibly death back in China. A key meeting has begun to revive China's lagging economy, which is now facing a trade war with the US. The BBC's Stephen McDonell breaks down what to look out for as China's leaders meet this week. Beijing's tit-for-tat measures are an opening swing, not a direct punch. BlackRock will buy two ports after Trump's interest in taking back control of the key shipping route. A close-up look at Chinese projects that worry the White House. Huge crowds gathered in Hong Kong to get a glimpse of Elder Sister and Little Brother Some young people in China are finding that AI can offer the unexpected - emotional support Beijing's calculated and selective targeting of US goods may be an opening move ahead of talks. China has set out a series of measures to kick in next week after the US introduced 10% tariffs on imports from the country. Tariffs are a central part of Trump's political vision, but economists warn they could put prices up. The Justice Department said Chinese agencies paid as much as $75,000  (£58,200) for each hacked email inbox. The ""Made in China"" juggernaut was built over decades. Can Trump's moves set it back? The comments come in response to US tariffs and as Beijing boosts defence spending by 7.2%. A key meeting has begun to revive China's lagging economy, which is now facing a trade war with the US. The BBC's Stephen McDonell breaks down what to look out for as China's leaders meet this week. BlackRock will buy two ports after Trump's interest in taking back control of the key shipping route. Canada's Prime Minister Justin said Donald Trump's decision to impose import taxes was ""very dumb"". China has set out a series of measures to kick in next week after the US introduced 10% tariffs on imports from the country. Copyright 2025 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking."
News,"Police allege organised criminals planted the caravan to provoke fear of an antisemitic attack. Residents are warned power may not return for days as further heavy rainfall is forecast. A 17-year-old has been charged after being detained by crew and members of the public on a plane in Australia. It's the first cyclone expected to land as far south since Cyclone Zoe in 1974. Australian police have been investigating the video, which circulated widely online and caused public outcry. Residents are warned power may not return for days as further heavy rainfall is forecast. At least one man has died in floodwaters and military personnel have been injured in the wild weather. Thousands have been told to evacuate ahead of tropical storm's arrival on Australia's eastern coast. A 17-year-old has been charged after being detained by crew and members of the public on a plane in Australia. Marty Sheargold said that the Matildas players reminded him of ""year 10 girls"". The icon's construction was plagued by technical problems, soaring costs, public anger and political infighting. The series will finish at the end of 2025, after 40 years and more than 9,000 episodes. Australian teacher Hannah Grundy was left to track down the man posting deepfake pornography of her. Euphoria star Jacob Elordi shines in this remarkable adaptation of a Booker Prize-winning Australian novel. Queensland's iconic Surfers Paradise beach looks strikingly different after the storm eroded the sand. BBC Australia reporter Simon Atkinson visits Townsville, which was hit by severe rainfall over the weekend. Almost 20,000 people visited Sydney's Botanic Gardens to catch a whiff of a rare plant in bloom. Shelley Sykes' son Rory, an Australian citizen who had cerebral palsy and struggled with mobility, did not follow an evacuation order. Footage released by police shows the suspect stripping off their burning clothes and fleeing. Police allege organised criminals planted the caravan to provoke fear of an antisemitic attack. Queensland's iconic Surfers Paradise beach looks strikingly different after the storm eroded the sand. Residents are warned power may not return for days as further heavy rainfall is forecast. At least one man has died in floodwaters and military personnel have been injured in the wild weather. The BBC's Katy Watson reports from the Gold Coast, as strong winds and heavy rains batter the region. Thousands have been told to evacuate ahead of tropical storm's arrival on Australia's eastern coast. Four million people across Queensland and northern New South Wales are in the firing line. A 17-year-old has been charged after being detained by crew and members of the public on a plane in Australia. It's the first cyclone expected to land as far south since Cyclone Zoe in 1974. Copyright 2025 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking."
News,"All 37 people aboard the two vessels that crashed in the North Sea are accounted for, an MP says. A hospital trust is investigating concerns some staff ""inappropriately accessed"" the records. The game was suspended for 70 minutes, but police were unable to find either the suspect or a weapon. Mike Amesbury says he ""regrets"" attacking Paul Fellows ""every moment, every day"". Anne Gandy says she ""had a ball"" at Bongo Bingo's anniversary show in Liverpool. A hospital trust is investigating concerns some staff ""inappropriately accessed"" the records. Mali Bennett-Smith, 17, told police he had murdered his older sister because he felt she had been bullying him. Chloe Mefford says justice has not been done after a man was in court over Tommy Hunter's death. The game was suspended for 70 minutes, but police were unable to find either the suspect or a weapon. Rhianan Rudd took her own life at the age of 16 after terrorism charges against her were dropped. The defendant has denied the attempted murder of Graeme Perks in Halam, Nottinghamshire. West Midlands mayor Richard Parker says Birmingham's streets are ""getting increasingly filthy"". Footage on a local social media group shows the man apparently striking the youngster. Dennis Smith is presented with the honour for his role in the liberation of France. The event was staged to raise money towards a statue to honour four pioneering women from Hull. London will be filled with more than 100 decorated large-scale eggs from 24 March to 27 April. Leanne Clarke built ""The Quack Shack"" to house them during bird flu restrictions. Kate Dawson from Ponteland wants people to be aware of the symptoms and get an early diagnosis. The free display at the Barbican Music Library aims to ""empower"" the communities it hails from. Matt Finchen says finding the right people to pass on his skills is a ""needle in a haystack"". The controversial cafe chain is expanding outside London but locals often have mixed feelings. An oil tanker involved in a collision with a cargo vessel off east Yorkshire's coast is on fire. A resident in Flamstead says about a dozen people in the village have been attacked. LNER now have 71 women drivers behind the controls of their fleet, but are keen to recruit more. H&S Wisdom became stuck on 2 March and is now waiting for suitable tide conditions to be refloated. Follow live as West Ham host Newcastle in the Premier League, plus listen to BBC Radio 5 Live's Monday Night Club. Some Manchester United players are ""not good enough"" and some are ""overpaid"", the club's co-owner Sir Jim Ratcliffe tells BBC sports editor Dan Roan. Manchester City sack head coach Gareth Taylor just five days before the Women's League Cup final. In his BBC Sport column, World Cup winner Matt Dawson reflects on England's thumping Six Nations victory over Italy, and assesses the final-day title race. Jet fuel is spilling into the sea and there are growing concerns over the environmental impact. Chief Constable Will Kerr is currently suspended and denies serious allegations of sexual offences. Peaky Blinders star Jack Hartley says he wants his films to reflect the humour of the north of England. All 37 people aboard the two vessels that crashed in the North Sea are accounted for, an MP says. Oury Amadou Diallo, 22, did not have licence for modified bike classed as motorcycle, court hears. Anyone caught vaping on Metro trains and in Metro stations could face a fine of up to £1,000. Tamba Momodu was shot in Telford in October 2020. An inquest opens into the 2021 deaths of Ryan Duffy and Ellie Marsden from Wigan. Chris Todd, who was the preferred candidate for the role, will take charge of the force on 7 April. Copyright 2025 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking."
News,"A monitoring group says 973 civilians have been killed in revenge attacks against the Alawite sect since Thursday. Witnesses said the situation stabilised when security forces arrived following the violence. Trump says he offered Iran a chance to negotiate on their nuclear programme or face military action. The foreign ministers of France, Germany, Italy and Britain welcomed the plan, which calls for Gaza to be rebuilt over five years. The two women were reportedly stargazing with three male tourists near a lake in Hampi, Karnataka, when they were attacked. Witnesses said the situation stabilised when security forces arrived following the violence. The UK-based Syrian Observatory for Human Rights (SOHR) said 830 civilians had been killed. Eli Cohen's announcement on Sunday came one week after Israel cut off all aid supplies to the territory. Trump says he offered Iran a chance to negotiate on their nuclear programme or face military action. The president also appeared to threaten civilians in Gaza, saying they would be ""dead"" if they held hostages. They say the Arab League's proposal for post-war reconstruction fails to address realities in Gaza. The UN says at least 80 community kitchens may run out of stock, and remaining food rations will soon run dry. Thomas Gabriel Perera was killed by Jordanian security forces while trying to enter Israel illegally. The UAE has strongly rejected Sudan's allegations, calling the case a ""cynical publicity stunt."" Deadly violence in Syria's Alawite heartland is the worst since rebels toppled Bashar al-Assad in December. Neuroscientists in Israel find signs that the drug helped festival survivors in the attack and the aftermath. Their fate is the discussion of Arab leaders in Egypt but what do Gazans want for their future? As Syria's interim leader plans its future, Kurds in the north-east are battling Turkish-backed forces. The US president sparked a social media frenzy when he posted a video of Gaza generated by artificial intelligence on his site Truth Social. The video apparently satirising a proposal to ""take over"" the Gaza Strip was shared by the US president on social media. The first of an estimated 2,000 Gazan children needing medical treatment arrive in Jordan. Four of the men were kidnapped on 7 October 2023, while the two have been held for a decade. The grandson of Oded Lifschitz, whose body was returned to Israel this week, speaks to the BBC. Israel released 369 people on Saturday as Hamas freed three more hostages A monitoring group says 973 civilians have been killed in revenge attacks against the Alawite sect since Thursday. Deadly violence in Syria's Alawite heartland is the worst since rebels toppled Bashar al-Assad in December. The UK-based Syrian Observatory for Human Rights (SOHR) said 830 civilians had been killed. Eli Cohen's announcement on Sunday came one week after Israel cut off all aid supplies to the territory. Witnesses said the situation stabilised when security forces arrived following the violence. The foreign ministers of France, Germany, Italy and Britain welcomed the plan, which calls for Gaza to be rebuilt over five years. The UK-based Syrian Observatory for Human Rights says 162 civilians were ""executed"" in a coastal region linked to ousted president Bashar al-Assad. Neuroscientists in Israel find signs that the drug helped festival survivors in the attack and the aftermath. A group that has been monitoring the civil war said 71 people died in clashes between the two sides. Copyright 2025 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking."
Athol Fugard: Death of a great South African playwright,"Athol Fugard, who has died aged 92, was widely acclaimed as one of South Africa's greatest playwrights. The son of an Afrikaner mother, he was best known for his politically charged plays challenging the racist system of apartheid. Paying tribute to Fugard, South Africa's Arts and Culture Minister Gayton McKenzie hailed him as ""a fearless storyteller who laid bare the harsh realities of apartheid through his plays"". ""We were cursed with apartheid, but blessed with great artists who shone a light on its impact and helped to guide us out of it. We owe a huge debt to this late, wonderful man,"" McKenzie added. Fugard wrote more than 30 plays in a career that spanned 70 years, making his mark with The Blood Knot in 1961. It was the first play in South Africa with a black and white actor - Fugard himself - performing in a front of a multiracial audience, before the apartheid regime  introduced laws prohibiting mixed casts and audiences. The Blood Knot catapulted Fugard onto the international stage - with the play shown in the US, and adapted for British television. The apartheid regime later confiscated his passport, but it strengthened Fugard's resolve to keep breaking racial barriers and exposing the injustices of apartheid. He went on to work with the Serpent Players, a group of black actors, and performed in black townships, despite harassment from the apartheid regime's security forces. Fugard's celebrated plays included Boesman and Lena, which looked at the difficult circumstances of a mixed-race couple. Having premiered in 1969, it was made into a film in 2000 starring Danny Glover and Angela Bassett. His novel, Tsotsi, was made into a film, winning the 2006 Oscar for best foreign language movie. The premier of South Africa's Western Cape province, Alan Winde, said that Fugard had a ""penetrating, sharp wit"", and his ""acute understanding of our country's political and cultural make-up is unmatched"". ""He will be sorely missed,"" Winde added. Other well-known plays by him include Sizwe Banzi Is Dead and The Island, which he co-wrote with the actors John Kani and Winston Ntshona, in a powerful condemnation of life on Robben Island, where anti-apartheid icon Nelson Mandela was imprisoned. In a simple tribute on X, Kani posted: ""I am deeply saddened by the passing of my dear friend Athol Fugard. May his soul rest in eternal peace. Elder 🌹"" Fugard won several awards for his work, and received a lifetime achievement honour at the prestigious Tony awards in 2011, while Time magazine described him in the 1985 as the greatest active playwright in the English-speaking world. ""Apartheid defined me, that is true... But I am proud of the work that came out of it, that carries my name,"" Fugard told the AFP news agency in 1995. Fugard feared that the end of apartheid in 1994 could leave him with little to do, but he still found enough material to write. In a BBC interview in 2010, he said that he shared the view of the late Archbishop Desmond Tutu that ""we have lost our way"" as a nation. ""I think the present society in South Africa needs the vigilance of writers, every bit as much as the old one did. ""It is a responsibility that young writers, playwrights, must really wake up to and understand that responsibility is theirs, just as it was mine and a host of other writers in the earlier years."" Additional reporting by the BBC's Elettra Neysmith. Go to BBCAfrica.com for more news from the African continent. Follow us on Twitter @BBCAfrica , on Facebook at BBC Africa or on Instagram at bbcafrica Which sides are on course to make the Champions Trophy semi-finals? Who has the most runs? And who has taken the most wickets? Police fire tear gas to stop protesters occupying a church which had accepted William Ruto's donation. Tensions between South Sudan's rivals threaten a fragile peace deal that ended 
 a five-year civil war. The men's Champions Trophy returns in 2025 after a eight-year hiatus - here's the full schedule for the eight-team tournament. The M23 rebel group has seized large parts of the mineral-rich eastern DR Congo this year. Copyright 2025 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking."
"Explosive-laden caravan plot was a hoax, say Australian police","A caravan found packed with explosives in outer Sydney earlier this year was part of a ""fabricated terrorism plot"" concocted by criminals, Australian police have said. The caravan, which was found in north-western Sydney on 19 January, contained enough explosives to produce a 40m-wide blast, along with a note displaying antisemitic messages and a list of Jewish synagogues. Its discovery, following a spate of antisemitic attacks in Australia, triggered widespread panic. But on Monday, Australian Federal Police (AFP) revealed that they knew ""almost immediately"" that the caravan was ""essentially a criminal con job"". AFP's deputy commissioner of national security, Krissy Barrett, said investigators within the New South Wales Joint Counter Terrorism Team believed that the caravan was ""part of a fabricated terrorism plot"". Authorities arrived at that belief based on information they already had, the ease with which they found the caravan and the visibility of the explosives contained inside – as well as the fact that there was no detonator. Yet police refrained from telling the public that they believed the plot was fake ""out of an abundance of caution"", as they continued to receive tip-offs about other related terror plots. They are now confident that these tip-offs were also fabricated, Ms Barrett said. The fake caravan plot involved several people with different levels of involvement, according to police. Between them, they had planned to purchase a caravan, load it with explosives and antisemitic materials and leave it in a specific location, before informing law enforcement about ""an impending terror attack against Jewish Australians"". Ms Barrett described it as ""an elaborate scheme contrived by organised criminals, domestically and from offshore"", adding that the leader of the plot maintained a distance and hired alleged local criminals to carry out parts of the operation. That individual is a known organised crime figure, Ms Barrett confirmed. She also added that while no arrests had been made in relation to the incident, police have a number of ongoing targets both in Australia and offshore. ""Too many criminals are accused of paying others to carry out antisemitic or terrorism incidents to get our attention or divert our resources,"" Ms Barrett said. She also noted that police believe ""the person pulling the strings wanted changes to their criminal status"". Criminals in these kinds of scenarios often leverage the exchange of information into law enforcement for some kind of personal gain, mostly around sentence reduction, Ms Barrett explained. BBC News contacted AFP for more details on the suspected agenda of those behind the caravan hoax, but received no further comment. ""Regardless of the motivation of those responsible for this fake plot, this has had a chilling effect on the Jewish community,"" Ms Barrett said in her statement. ""What organised crime has done to the Jewish community is reprehensible, and it won't go without consequence. There was also unwarranted suspicion directed at other communities – and that is also reprehensible."" Separately, New South Wales police arrested 14 people on Monday morning as part of Strike Force Pearl: a police operation established in December 2024 to investigate antisemitic hate crimes across Sydney. The establishment of the Strike Force followed a string of antisemitic attacks in Australia in late-2024, including the vandalism of a Jewish school in Sydney's eastern suburbs and the arson of a childcare centre, which was set alight and sprayed with antisemitic messages. Speaking to the media on Monday, police said they believed all those incidents had a ""common source"" with the caravan plot. ""The caravan job was orchestrated by the same individual or individuals that were orchestrating the Pearl incidents,"" said NSW Police deputy commissioner David Hudson. Mr Hudson further noted, however, that ""none of the individuals we have arrested during Pearl have displayed any form of antisemitic ideology."" ""I think what these organised crime heads have done is play to vulnerabilities in the community,"" he later explained. ""Obviously there have been antisemitic attacks of a lower nature, and a lot of anger and angst in the community – we've seen that since October 7th, 2023... And I think these organised crime figures have taken an opportunity to play on the vulnerability of the Jewish community."" Copyright 2025 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking."
News,"Donald Trump's vow to take over Greenland has shone a global spotlight on the island's elections. Sunday's decision sparked violent protests by Calin Georgescu's supporters in the capital Bucharest. The three went back and forth in an exchange of posts on X over Starlink being cut off in Ukraine. Bulgarian journalist Christo Grozev told the BBC one method was to use a sledgehammer, and another involved using a ""suicide bomber"". A whippet from Italy has been named best in show at the 2025 Crufts dog show in Birmingham. Sunday's decision sparked violent protests by Calin Georgescu's supporters in the capital Bucharest. An unexpected nationwide strike by airport workers over pay has caused disruption at major transport hubs. Ukraine is under US pressure to accept a quick truce to end the war with Russia, with US-Ukrainian talks set to begin in Saudi Arabia. The three went back and forth in an exchange of posts on X over Starlink being cut off in Ukraine. Russia has stepped up attacks in recent days as the US paused military and intelligence aid to Kyiv. The Vatican said on Saturday the Pope had shown a ""good response"" in recent days to his treatment at Rome's Gemelli hospital. It may be 'easier dealing with' Moscow than Kyiv, the US president told reporters in the White House. Parents are once again able to bring their children to join them in the UK, after months of being separated. The foreign ministers of France, Germany, Italy and Britain welcomed the plan, which calls for Gaza to be rebuilt over five years. Danes, who have been loyal allies of Washington, are blindsided by Trump's insistence on taking over Greenland. A spy cell tracked the Kremlin's enemies across Europe, plotting honeytraps, kidnap and murder. Politicians from the island of Ireland are visiting Washington DC this week - but it's not without controversy. Wind and wave power is set to be included in calculations of the size of countries' economies for the first time, as part of changes approved at the United Nations. Scranton's ammunition plant makes weapons for Ukraine, and Zelensky paid it a visit last year. The 88-year-old had not been seen or heard by the public since he was admitted to hospital on 14 February. At least three people were injured when politicians clashed with security in a show of support for anti-government protestors. The Ukrainian president speaks about the mineral deal, his recent meeting at the White House, and the possibility of a truce. James Flynn was jailed for eight years for conspiring to steal a getaway car used in a fatal robbery. Sunday's decision sparked violent protests by Calin Georgescu's supporters in the capital Bucharest. Lisa Thompson's son gave a victim impact statement, as killer Brian McHugh is jailed for life. Donald Trump believes Kyiv is now ready to ""move forward"" with a ceasefire with Russia. BBC News correspondent James Waterhouse explains what it means for Ukraine. An unexpected nationwide strike by airport workers over pay has caused disruption at major transport hubs. The three went back and forth in an exchange of posts on X over Starlink being cut off in Ukraine. How are Russia and Ukraine placed after three years of fighting and with Donald Trump suggesting talks on ending the war could begin soon? Russia hoped to overthrow Ukraine's pro-Western government in days, but it failed. The pair have been accused by Russian security services of  ""intelligence and subversive activity"". Copyright 2025 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking."
News,"Mike Amesbury says he ""regrets"" attacking Paul Fellows ""every moment, every day"". Households near new pylons are set to get up to £250 a year off their energy bills, under government plans. Ministers are urged the tackle the ""crisis of economic inactivity"", in a letter from Labour MPs. Shadow home secretary Chris Philp said he wants to ""bring to an end the era of mass migration"". The family of Sir David Amess say the decision is ""unacceptable"" and ""insulting"". Households near new pylons are set to get up to £250 a year off their energy bills, under government plans. Comments attributed to the senior lawyer by the Great Yarmouth MP in his defence have been denied by her. This current spat involving Nigel Farage and the MP for Great Yarmouth, Rupert Lowe, has seen both sides flinging a lot of mud at each other. Ministers are urged the tackle the ""crisis of economic inactivity"", in a letter from Labour MPs. The PM writes to officials, telling them they ""must be enabled to re-focus on your core purpose"". A former Bristol MP and shadow minister takes her seat in the House of Lords. Measures including linking the pay of senior civil servants to performance are expected to be unveiled this week. Kemi Badenoch previously criticised how some foreign criminals and illegal migrants were using the act. Daniel Day, 29, has been charged with causing a public nuisance and trespassing on a protected site. Chancellor Rachel Reeves will give more detail about the government's plans for the economy. The Chancellor has earmarked ""several billion pounds"" in draft spending cuts to welfare. The PM seizes the spotlight as Trump upends the world order - but he faces serious challenges in the UK. The PM refrained from criticising JD Vance and chose to read out the names of fallen British soldiers. President Macron has aired the idea that France's deterrence force could be used to defend of other European countries. Copyright 2025 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking."
Watch: Tropical storm erodes iconic Australian beach,"Ex-tropical cyclone Alfred caused huge swells and flooding as it hit Australia's east coast over the weekend. Footage shows beach erosion at the Gold Coast's Surfers Paradise, a car windscreen impaled by a tree and damage to property caused by the storm. Residents are being warned that heavy rain is set to continue in the region over the coming days. Almost 20,000 people visited Sydney's Botanic Gardens to catch a whiff of a rare plant in bloom. Footage released by police shows the suspect stripping off their burning clothes and fleeing. Some on the streets of Sydney say it's a ""great idea"" while others suggest responsibility for children's social media use should be with parents. The driver and all students were safely evacuated after the bus caught fire during the morning school run. Watch: Radiohead's Thom Yorke responds to heckler shouting about Gaza An Australian says ""you can't get any better than that"" after meeting King Charles and Queen Camilla in Sydney. BBC footage shows the protester shouting to crowds waiting to see King Charles outside of the Sydney Opera House. The woman shouted ""you are not our King"" and ""this is not your land"" before being escorted out. The BBC asks Australians about the King's visit this week and local feelings about the monarchy. Tina flies to Melbourne to meet her four siblings for the first time and it is captured on film. The ride was stopped due to a ""sensor communication fault"", according to a theme park official. The Australian b-girl said she ""gave her best"" during her performance at the Paris Olympics ABC News Breakfast's Nate Byrne speaks with the BBC about how he handled the on-air moment. Julian Assange is with his family in Australia, after walking free from a US court in Saipan. ‘He went through hell’: Australians react to Julian Assange’s release Around 3,000 people took the plunge in the River Derwent in Hobart to mark the winter solstice. The pilot was able to steer clear of roofs in Sydney’s suburbs after the plane lost power mid-flight. The mother of two Australian brothers killed in Mexico says “the world has become a darker place”. People gather for a vigil in Sydney to remember those who died in a stabbing attack in the city's Bondi Junction. In an audio message, Mar Mari Emmanuel said he was ‘doing fine’ in his first statement since being attacked on Monday. Copyright 2025 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking."
Policeman convicted for viral torture video found dead in jail,"A former Thai police chief who was jailed for life three years ago for torturing a drug suspect to death has been found dead in his Bangkok jail cell, authorities said. Thitisan Utthanaphon, who was nicknamed Joe Ferrari for his many luxury cars, died by suicide, according to a preliminary autopsy. In 2021, a leaked video showed Thitisan and his colleagues wrapping plastic bags around the head of a 24-year-old drug suspect during an interrogation, leading to the suspect's death. The video sparked national outrage at that time over police brutality in Thailand. It has made fresh rounds on social media in the wake of Thitisan's death. Thailand's justice ministry has launched an investigation into his death after his family expressed doubts that he killed himself. Further tests were needed to confirm that he had indeed died in a suicide, authorities said. Justice minister Tawee Sodsong said on Monday that all evidence related to Thitisan's death should be disclosed, and urged prison authorities to cooperate with investigators. The family said Thitisan was previously assaulted by a prison staffer. They said officials did not allow them to see his body, which was found in his cell on Friday. But on Sunday authorities said ""no prison officer or inmate has harmed or caused [his] death"". A previous raid on Thitisan's house revealed that he owned a dozen luxury sportscars. Authorities believe he owned at least 42, one of them a rare Lamborghini Aventador Anniversario, of which only 100 were made, priced in Thailand at 47 million baht ($1.45m; £1.05m). As a police colonel, Thitisan was paid about $1,000 a month. There were allegations that he demanded bribes from the suspect in the viral video, Jirapong Thanapat, while suffocating him. Thitisan denied this. Thitisan surrendered in 2021 following a manhunt. Besides Thitisan, five other police officers were convicted of murdering Jirapong and were also sentenced to life in prison in 2022. ""It's like he has paid off the karma he committed,"" Jirapong's father said in an interview on local media on Saturday. The Department of Corrections said they had been investigating a previous complaint filed by Thitisan's family alleging that he had been bullied and assaulted by prison officers earlier this year. Thitisan had consulted doctors over anxiety issues and trouble sleeping, the department said. His family visited him on the day that he died and prison staff did not notice any ""abnormalities"", it said. If you have been affected by any of the issues raised in this article you can visit the BBC Action Line for help. A 50-year-old directive that policed students' hairstyles was found to be unconstitutional. British backpacker Okemena Sule is in a coma following a ""horrific"" motorcycle crash in Thailand. The move comes after rights groups warned the Uyghurs face torture and possibly death back in China. The camps are unsanitary, food barely sufficient, and many of those being held are in poor health. Thai Prime Minister Paetongtarn Shinawatra has pledged to close scam centres along the Thai-Myanmar border. Copyright 2025 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking."
